"hash","ubid","grid","lat","lon","area","height","height_source","height_predict","fp","fp_source","state","county"
"ODU0NFZROTIrOjM2NDY1NzE1NQ","8544VQ92+WX-1-0-1-1","8544VQ92+","32.869765","-117.247603","282.05709768618806","5.73","model","5.73","POLYGON((-117.2476753 32.8696684,-117.2475637 32.869654,-117.2475036 32.8699135,-117.247598 32.8699207,-117.2476753 32.8696684))","osm","California","06073"
"ODU0NFZROTMrOi01OTAwOTM3NjQ","8544VQ93+V6-1-1-1-1","8544VQ93+","32.869691","-117.246968","368.39669780669334","6.07","model","6.07","POLYGON((-117.2471002 32.8697116,-117.2468256 32.8695602,-117.2467655 32.8696828,-117.2470487 32.8697909,-117.2471002 32.8697116))","osm","California","06073"
"ODU0NFZROTMrOi03MjAxMDI0NzE","8544VQ93+Q2-1-0-1-0","8544VQ93+","32.869428","-117.247456","206.28453114705522","5.73","model","5.73","POLYGON((-117.247495 32.8693368,-117.2473921 32.869344,-117.2474092 32.8695602,-117.2474865 32.8695602,-117.247495 32.8693368))","osm","California","06073"
"ODU0NFZROTMrOjkyNzE4OTA2OQ","8544VQ93+X7-1-1-1-2","8544VQ93+","32.869914","-117.24686","368.2511841084583","6.07","model","6.07","POLYGON((-117.2470058 32.8699135,-117.2466882 32.8698198,-117.2466282 32.8699135,-117.2469715 32.8700072,-117.2470058 32.8699135))","osm","California","06073"
"ODU0NFZROTQrOjU3MjkzMTQ5OA","8544VQ94+JJ-1-5-2-3","8544VQ94+","32.86903","-117.24338","3797.09200913241","9.31","model","9.31","POLYGON((-117.2438501 32.8689819,-117.2438421 32.8688287,-117.2436838 32.8688287,-117.2436758 32.8688107,-117.2427719 32.8688174,-117.2427692 32.8689458,-117.2427531 32.8689999,-117.2427558 32.8690314,-117.2429382 32.8690382,-117.2429382 32.8690022,-117.2429596 32.8690022,-117.2429596 32.8690607,-117.2429328 32.8690697,-117.2429328 32.8691711,-117.2429516 32.8691801,-117.2432707 32.8692319,-117.2435121 32.8692027,-117.2434961 32.8691644,-117.243606 32.8691554,-117.2436168 32.8691756,-117.2438126 32.8691058,-117.243767 32.869036,-117.243767 32.8690179,-117.2437884 32.8690179,-117.2437884 32.8689977,-117.2438206 32.8689977,-117.2438206 32.8689796,-117.2438501 32.8689819))","osm","California","06073"
"ODU0NFZROTUrOi01MjkwOTQ1NzM","8544VQ95+G3-1-1-1-0","8544VQ95+","32.868817","-117.242266","240.65962974465893","5.73","model","5.73","POLYGON((-117.242231 32.868738,-117.242194 32.868918,-117.242319 32.868936,-117.242356 32.868757,-117.242231 32.868738))","msfp-usbuildings-v1-1","California","06073"
"ODU0NFZROTUrOi0xOTA3ODE1OTcx","8544VQ95+9F-1-1-1-1","8544VQ95+","32.868448","-117.24132","407.95346258442305","6.56","model","6.56","POLYGON((-117.241324 32.868493,-117.241407 32.868526,-117.241486 32.868385,-117.24126 32.868296,-117.241167 32.868462,-117.241263 32.8685,-117.241303 32.868429,-117.24135 32.868447,-117.241324 32.868493))","msfp-usbuildings-v1-1","California","06073"
"ODU0NFZROTUrOi05MjA0ODkzOTY","8544VQ95+J4-1-1-1-1","8544VQ95+","32.869049","-117.242184","326.06374472667017","6.05","model","6.05","POLYGON((-117.24205 32.869132,-117.242228 32.869155,-117.242246 32.869059,-117.242312 32.869067,-117.242323 32.869006,-117.242228 32.868993,-117.242236 32.868949,-117.242156 32.868938,-117.242133 32.869059,-117.242065 32.86905,-117.24205 32.869132))","msfp-usbuildings-v1-1","California","06073"
"ODU0NFZROTUrOjI1ODUzNDI3Nw","8544VQ95+PF-1-1-0-1","8544VQ95+","32.869368","-117.241313","291.5178545731391","5.73","model","5.73","POLYGON((-117.2412 32.869426,-117.241282 32.869455,-117.241321 32.869379,-117.241434 32.86942,-117.241485 32.869319,-117.241331 32.869263,-117.241303 32.869319,-117.241262 32.869304,-117.2412 32.869426))","msfp-usbuildings-v1-1","California","06073"
"ODU0NFZROTUrOi0xMjgwNTA2Mjg4","8544VQ95+7V-1-1-1-0","8544VQ95+","32.86817","-117.240251","324.68782170318275","6.05","model","6.05","POLYGON((-117.240177 32.868083,-117.240237 32.868322,-117.240362 32.8683,-117.240302 32.868061,-117.240177 32.868083))","msfp-usbuildings-v1-1","California","06073"
"ODU0NFZROTUrOi0xMTgzNjgwMzk4","8544VQ95+WV-1-1-1-1","8544VQ95+","32.869803","-117.240298","322.36094700939196","6.05","model","6.05","POLYGON((-117.240394 32.869846,-117.240353 32.869698,-117.240154 32.869738,-117.240195 32.869885,-117.240394 32.869846))","msfp-usbuildings-v1-1","California","06073"
"ODU0NFZROTUrOi0xNzk1MTc0NjM0","8544VQ95+W5-0-0-1-1","8544VQ95+","32.869771","-117.242111","64.56691778829592","4.05","model","4.05","POLYGON((-117.242063 32.869766,-117.242121 32.869823,-117.242184 32.869779,-117.242126 32.869721,-117.242063 32.869766))","msfp-usbuildings-v1-1","California","06073"
"ODU0NFZROTUrOjMzMDYzMjQ3Mw","8544VQ95+8P-1-1-0-1","8544VQ95+","32.868329","-117.240645","294.35219853558834","5.74","model","5.74","POLYGON((-117.240522 32.868298,-117.240604 32.86845,-117.240788 32.868379,-117.240746 32.868302,-117.240686 32.868325,-117.240647 32.868251,-117.240522 32.868298))","msfp-usbuildings-v1-1","California","06073"
"ODU0NFZROTUrOjY3NjE0ODY5","8544VQ95+C9-1-1-1-1","8544VQ95+","32.86855","-117.241569","354.4386314373853","6.05","model","6.05","POLYGON((-117.241623 32.868481,-117.241482 32.868431,-117.241399 32.868594,-117.241535 32.868643,-117.241554 32.868605,-117.241634 32.868634,-117.241674 32.868554,-117.2416 32.868527,-117.241623 32.868481))","msfp-usbuildings-v1-1","California","06073"
"ODU0NFZROTUrOi04MDQ2MjQzMTI","8544VQ95+C3-1-1-0-1","8544VQ95+","32.86859","-117.242259","283.14160830073655","5.73","model","5.73","POLYGON((-117.242178 32.868507,-117.242164 32.868586,-117.242259 32.868598,-117.242239 32.868715,-117.242365 32.86873,-117.24239 32.868582,-117.242275 32.868568,-117.242283 32.86852,-117.242178 32.868507))","msfp-usbuildings-v1-1","California","06073"
"ODU0NFZROTUrOi0zNzA1OTIxNDM","8544VQ95+FJ-1-1-1-1","8544VQ95+","32.868725","-117.240952","447.83129132628045","6.56","model","6.56","POLYGON((-117.240944 32.868868,-117.241066 32.868775,-117.240957 32.868674,-117.241025 32.868622,-117.24096 32.868563,-117.240771 32.868707,-117.240944 32.868868))","msfp-usbuildings-v1-1","California","06073"
"ODU0NFZROTUrOi02MzgyMTUzNzE","8544VQ95+8H-1-1-1-1","8544VQ95+","32.868314","-117.241119","180.02743236471883","5.71","model","5.71","POLYGON((-117.2412 32.868352,-117.241076 32.868209,-117.240997 32.868257,-117.24112 32.8684,-117.2412 32.868352))","msfp-usbuildings-v1-1","California","06073"
"ODU0NFZROTUrOjE2NzE0Mzk1OTA","8544VQ95+HC-1-1-1-1","8544VQ95+","32.868909","-117.241444","325.49693875339835","6.05","model","6.05","POLYGON((-117.241466 32.86884,-117.241365 32.868818,-117.24131 32.868995,-117.241511 32.869039,-117.241546 32.868925,-117.241447 32.868903,-117.241466 32.86884))","msfp-usbuildings-v1-1","California","06073"
"ODU0NFZROTUrOi02NDMwNTUxODI","8544VQ95+HM-2-2-1-1","8544VQ95+","32.868975","-117.240779","437.4268274858198","6.56","model","6.56","POLYGON((-117.240837 32.868921,-117.240769 32.86886,-117.240586 32.869005,-117.24074 32.869142,-117.240886 32.869026,-117.2408 32.86895,-117.240837 32.868921))","msfp-usbuildings-v1-1","California","06073"
"ODU0NFZROTUrOjk2MTgxNzM0OA","8544VQ95+9V-1-0-1-2","8544VQ95+","32.868431","-117.240362","347.25205937096797","6.05","model","6.05","POLYGON((-117.240279 32.868452,-117.240314 32.868559,-117.240511 32.868512,-117.24047 32.868389,-117.24041 32.868403,-117.240384 32.868325,-117.24029 32.868347,-117.240321 32.868442,-117.240279 32.868452))","msfp-usbuildings-v1-1","California","06073"
"ODU0NFZROTUrOjEwNzcwMDE2NjA","8544VQ95+6H-1-1-1-0","8544VQ95+","32.868089","-117.24101","318.6930465789275","6.05","model","6.05","POLYGON((-117.2411 32.868151,-117.241011 32.867954,-117.240875 32.867997,-117.240964 32.868194,-117.2411 32.868151))","msfp-usbuildings-v1-1","California","06073"
"ODU0NFZROTUrOjExMTYzMTU5MDY","8544VQ95+Q9-1-1-1-1","8544VQ95+","32.869458","-117.241572","461.90969299113505","6.56","model","6.56","POLYGON((-117.24159 32.869446,-117.241527 32.869437,-117.241519 32.869477,-117.241447 32.869467,-117.24143 32.869553,-117.241694 32.86959,-117.241738 32.869364,-117.24161 32.869346,-117.24159 32.869446))","msfp-usbuildings-v1-1","California","06073"
"ODU0NFZROTUrOjU0ODA0NDQ5MA","8544VQ95+VW-0-1-1-1","8544VQ95+","32.86963","-117.240134","317.67268803840693","6.05","model","6.05","POLYGON((-117.240055 32.869637,-117.240097 32.869629,-117.240119 32.869714,-117.240306 32.86968,-117.240269 32.869537,-117.24004 32.869579,-117.240055 32.869637))","msfp-usbuildings-v1-1","California","06073"
"ODU0NFZROTUrOi0xNTE0NjEwMjMz","8544VQ95+CM-1-1-1-1","8544VQ95+","32.868515","-117.240787","294.8563735878152","5.74","model","5.74","POLYGON((-117.24066 32.868493,-117.240791 32.868643,-117.240941 32.868551,-117.240878 32.868478,-117.240825 32.868511,-117.240757 32.868433,-117.24066 32.868493))","msfp-usbuildings-v1-1","California","06073"
"ODU0NFZROTUrOi03MjE5MDU0MTQ","8544VQ95+H8-1-1-0-1","8544VQ95+","32.868964","-117.241735","413.8210772807836","6.56","model","6.56","POLYGON((-117.241837 32.868906,-117.241616 32.868876,-117.241583 32.869052,-117.241804 32.869081,-117.241837 32.868906))","msfp-usbuildings-v1-1","California","06073"
"ODU0NFZROTUrOjEzNzUzNjgzODM","8544VQ95+79-1-1-0-1","8544VQ95+","32.868216","-117.241602","333.66479851897816","6.05","model","6.05","POLYGON((-117.241599 32.868157,-117.241497 32.868144,-117.24147 32.868299,-117.241718 32.868329,-117.241737 32.868223,-117.241591 32.868204,-117.241599 32.868157))","msfp-usbuildings-v1-1","California","06073"
